Round	Overall	PickInRound	TeamName	ManagerName	OriginalSlot	PickedByUser	Player	Pos	NFLTeam	Keeper	Notes
1	1	1	oG United	Jottage	1	342040643784294400	Christian McCaffrey	RB	SF		
1	2	2	Simon2307	Simon2307	2	859802093802864640	Austin Ekeler	RB	WAS		
1	3	3	Juschka	Juschka	3	341593961992892416	Nick Chubb	RB	HOU		
1	4	4	Glizzy Gladiators	ShamH	4	76695567182741504	Travis Kelce	TE	KC		
1	5	5	Suckme Mourdock Network	lancemourdock	5	342388370686664704	Justin Jefferson	WR	MIN		
1	6	6	Andertheker	LosSausages	6	342208470788886528	Derrick Henry	RB	BAL		
1	7	7	Snatchville Lubricators	kesso	7	589576591017811968	Bijan Robinson	RB	ATL		
1	8	8	I_hate_Kowa	theBIGLebronski	8	635586046918230016	Ja'Marr Chase	WR	CIN		
2	9	1	I_hate_Kowa	theBIGLebronski	8	635586046918230016	Saquon Barkley	RB	PHI		
2	10	2	Snatchville Lubricators	kesso	7	589576591017811968	Jonathan Taylor	RB	IND		
2	11	3	Andertheker	LosSausages	6	342208470788886528	Josh Jacobs	RB	GB		
2	12	4	Suckme Mourdock Network	lancemourdock	5	342388370686664704	Tony Pollard	RB	TEN		
2	13	5	Glizzy Gladiators	ShamH	4	76695567182741504	Tyreek Hill	WR	MIA		
2	14	6	Juschka	Juschka	3	341593961992892416	Breece Hall	RB	NYJ		
2	15	7	Simon2307	Simon2307	2	859802093802864640	Najee Harris	RB	LAC		
2	16	8	oG United	Jottage	1	342040643784294400	Cooper Kupp	WR	SEA		
3	17	1	oG United	Jottage	1	342040643784294400	CeeDee Lamb	WR	DAL		
3	18	2	Simon2307	Simon2307	2	859802093802864640	A.J. Brown	WR	PHI		
3	19	3	Juschka	Juschka	3	341593961992892416	Stefon Diggs	WR	NE		
3	20	4	Glizzy Gladiators	ShamH	4	76695567182741504	Davante Adams	WR	LAR		
3	21	5	Suckme Mourdock Network	lancemourdock	5	342388370686664704	Mark Andrews	TE	BAL		
3	22	6	Andertheker	LosSausages	6	342208470788886528	DK Metcalf	WR	PIT		
3	23	7	Snatchville Lubricators	kesso	7	589576591017811968	Garrett Wilson	WR	NYJ		
3	24	8	I_hate_Kowa	theBIGLebronski	8	635586046918230016	Travis Etienne	RB	JAX		
