Round	Overall	PickInRound	TeamName	ManagerName	OriginalSlot	PickedByUser	Player	Pos	NFLTeam	Keeper	Notes
1	1	1	Snatchville Lubricators	kesso	1	589576591017811968	Jonathan Taylor	RB	IND		
1	2	2	SimonFuhr237	SimonFuhr237	2	859802093802864640	Derrick Henry	RB	BAL		
1	3	3	Los Cheezos Ritzos	LosSausages	3	342208470788886528	Austin Ekeler	RB	WAS		
1	4	4	Show Me Your TDs	theBIGLebronski	4	635586046918230016	Dalvin Cook	RB			
1	5	5	oG United	Jottage	5	342040643784294400	Christian McCaffrey	RB	SF		
1	6	6	Juschka	Juschka	6	341593961992892416	Najee Harris	RB	LAC		
1	7	7	Suckme Mourdock Network	lancemourdock	7	342388370686664704	Joe Mixon	RB	HOU		
1	8	8	Weizen Express	ShamH	8	76695567182741504	Travis Kelce	TE	KC		
2	9	1	Weizen Express	ShamH	8	76695567182741504	Cooper Kupp	WR	SEA		
2	10	2	Suckme Mourdock Network	lancemourdock	7	342388370686664704	Justin Jefferson	WR	MIN		
2	11	3	Juschka	Juschka	6	341593961992892416	Ja'Marr Chase	WR	CIN		
2	12	4	oG United	Jottage	5	342040643784294400	Nick Chubb	RB	HOU		
2	13	5	Show Me Your TDs	theBIGLebronski	4	635586046918230016	Deebo Samuel	WR	WAS		
2	14	6	Los Cheezos Ritzos	LosSausages	3	342208470788886528	Alvin Kamara	RB	NO		
2	15	7	SimonFuhr237	SimonFuhr237	2	859802093802864640	D'Andre Swift	RB	CHI		
2	16	8	Snatchville Lubricators	kesso	1	589576591017811968	Aaron Jones	RB	MIN		
3	17	1	Snatchville Lubricators	kesso	1	589576591017811968	Javonte Williams	RB	DAL		
3	18	2	SimonFuhr237	SimonFuhr237	2	859802093802864640	Stefon Diggs	WR	NE		
3	19	3	Los Cheezos Ritzos	LosSausages	3	342208470788886528	Davante Adams	WR	LAR		
3	20	4	Show Me Your TDs	theBIGLebronski	4	635586046918230016	Tyreek Hill	WR	MIA		
3	21	5	oG United	Jottage	5	342040643784294400	CeeDee Lamb	WR	DAL		
3	22	6	Juschka	Juschka	6	341593961992892416	Mike Evans	WR	TB		
3	23	7	Suckme Mourdock Network	lancemourdock	7	342388370686664704	A.J. Brown	WR	PHI		
3	24	8	Weizen Express	ShamH	8	76695567182741504	Saquon Barkley	RB	PHI		
4	25	1	Weizen Express	ShamH	8	76695567182741504	James Conner	RB	ARI		
4	26	2	Suckme Mourdock Network	lancemourdock	7	342388370686664704	Leonard Fournette	RB			
4	27	3	Juschka	Juschka	6	341593961992892416	Josh Allen	QB	BUF		
4	28	4	oG United	Jottage	5	342040643784294400	Cam Akers	RB	MIN		
4	29	5	Show Me Your TDs	theBIGLebronski	4	635586046918230016	Kyle Pitts	TE	ATL		
4	30	6	Los Cheezos Ritzos	LosSausages	3	342208470788886528	Ezekiel Elliott	RB			
4	31	7	SimonFuhr237	SimonFuhr237	2	859802093802864640	Mark Andrews	TE	BAL		
